2025.08.01 12:20:21 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/scala_wordle_bot/wordle_bot.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 12:22:26 INFO  Connected to Scala CLI server v1.8.0[0m
2025.08.01 12:22:26 INFO  compiling metals-scala-cli2991380347196907667_456db7ad80-0e96320884 (1 scala source)[0m
2025.08.01 12:22:26 INFO  time: compiled metals-scala-cli2991380347196907667_456db7ad80-0e96320884 in 86ms[0m
2025.08.01 12:22:26 INFO  compiling metals-scala-cli2991380347196907667_456db7ad80-93d58869f6 (1 scala source)[0m
2025.08.01 12:22:28 INFO  time: compiled metals-scala-cli2991380347196907667_456db7ad80-93d58869f6 in 1.28s[0m
2025.08.01 12:22:28 INFO  time: indexed workspace in 1.46s[0m
2025.08.01 12:22:28 INFO  compiling metals-scala-cli2991380347196907667_456db7ad80-93d58869f6 (1 scala source)[0m
2025.08.01 12:22:28 INFO  time: indexed workspace in 1.87s[0m
2025.08.01 12:22:28 INFO  time: compiled metals-scala-cli2991380347196907667_456db7ad80-93d58869f6 in 0.67s[0m
2025.08.01 12:22:28 INFO  compiling metals-scala-cli2991380347196907667_456db7ad80-93d58869f6 (1 scala source)[0m
2025.08.01 12:22:29 INFO  time: compiled metals-scala-cli2991380347196907667_456db7ad80-93d58869f6 in 0.56s[0m
2025.08.01 12:22:29 INFO  Scala CLI started for /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-new-1754031141735.scala[0m
2025.08.01 12:22:30 INFO  Scala CLI started for /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-old-1754031141735.scala[0m
2025.08.01 12:22:41 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 12:22:41 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 12:22:56 INFO  Shut down connection with build server.[0m
2025.08.01 12:22:56 INFO  Shut down connection with build server.[0m
2025.08.01 12:22:56 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 12:27:10 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:10 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:10 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt[0m
2025.08.01 12:27:10 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:10 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:15 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:15 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 12:27:15 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 12:27:28 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:28 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:28 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt[0m
2025.08.01 12:27:28 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:27:28 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:29:53 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:51 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:51 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:51 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:52 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:52 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:30:53 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt[0m
2025.08.01 12:30:53 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:31:14 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:31:14 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:31:14 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:31:14 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:31:14 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt[0m
2025.08.01 12:31:14 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 12:31:54 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:20:15 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:21:13 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:25:15 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:25:15 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:25:16 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:25:16 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt[0m
2025.08.01 13:25:16 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:25:16 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:25:16 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:26:10 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:26:11 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:26:16 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/scala_wordle_bot/wordle_bot.scala[0m
2025.08.01 13:26:18 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:26:35 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/scala_wordle_bot/wordle_bot.scala[0m
2025.08.01 13:26:44 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:26:44 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver.scala[0m
2025.08.01 13:35:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:35:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:35:34 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:35:34 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:35:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:35:35 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:35:35 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:36:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:36:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:36:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:36:02 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala[0m
2025.08.01 13:36:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:36:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:36:03 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:40:30 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:41:34 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala[0m
2025.08.01 13:41:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:42:14 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:43:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:43:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:43:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:44:00 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:44:00 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:44:00 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:45:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:45:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:45:02 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:46:06 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:46:06 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:46:06 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:47:19 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:47:19 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:47:19 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:47:19 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:47:19 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:47:20 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:47:20 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:48:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:54:07 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:54:34 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:41 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:41 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala[0m
2025.08.01 13:56:41 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:41 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
